scenario_id,scenario,primary_concern,drivers,b1_assessment,condition_or_risk,b0_contrast,coverage_group,operating_mode,viewpoints
S1,Quyết định thuộc thẩm quyền tỉnh,thẩm quyền/địa phương,DRV1,ĐÁP ỨNG TRỰC TIẾP,AE24 tạo biên ghi theo tỉnh; vẫn phải kiểm tra định tuyến thẩm quyền.,B0 có thể phân quyền logic nhưng phụ thuộc môi trường thực thi/kho trung tâm.,COV1,vận hành bình thường/thẩm quyền,V1;V3;V4
S2,Khác biệt bước xử lý nội bộ giữa các tỉnh,khả năng cấu hình/khả năng sửa đổi,DRV2;DRV5,ĐÁP ỨNG TRỰC TIẾP,AE26 cung cấp mô hình nền + cấu hình có phiên bản; cổng tuân thủ phải được kiểm thử.,B0 đơn giản hơn nếu dùng một quy trình chuẩn.,COV1,biến thể địa phương,V2;V4;V6
S3,Thay đổi pháp luật về biểu mẫu/trạng thái/thời hạn,khả năng sửa đổi/quản trị,DRV2;DRV5,ĐÁP ỨNG CÓ ĐIỀU KIỆN,Phát hành mô hình nền mới; tái kiểm tra cấu hình; quản lý hồ sơ đang chạy theo phiên bản.,B0 có ít điểm phát hành/cấu hình hơn.,COV2,thay đổi quy định,V2;V4;V5;V6
S4,Gián đoạn lớp chia sẻ/trung ương sau quyết định tỉnh,khả năng phục hồi/liên thông,DRV3;DRV4;DRV5,ĐÁP ỨNG CÓ ĐIỀU KIỆN,Ghi cục bộ + gửi lại + chống trùng + cảnh báo hạn; rủi ro nếu gián đoạn vượt cửa sổ pháp lý.,B0 phụ thuộc trực tiếp hơn vào lớp trung tâm.,COV3,gián đoạn liên thông,V4;V5;V6
S5,Tổng hợp/giám sát toàn quốc,nhất quán/độ mới,DRV4;DRV5,ĐÁP ỨNG CÓ ĐIỀU KIỆN,"AE25 phải công bố độ mới, nguồn và thời điểm đồng bộ.",B0 có ảnh đọc tập trung đơn giản hơn.,COV4,tổng hợp toàn quốc,V1;V3;V4;V5
S6,Định danh doanh nghiệp thay đổi ở nguồn quốc gia,thẩm quyền nguồn/nhất quán,DRV4;DRV5,ĐÁP ỨNG CÓ ĐIỀU KIỆN,Bản tham chiếu tại tỉnh cần quy tắc làm mới/xác minh lại nguồn trước bước nhạy cảm.,B0 có ít bản tham chiếu vận hành hơn.,COV2,thay đổi nguồn có thẩm quyền,V3;V4;V6
S7,Lớp trung ương không sẵn sàng khi tỉnh xử lý,tính sẵn sàng/cô lập sự cố,DRV3;DRV4,ĐÁP ỨNG CÓ ĐIỀU KIỆN,Bước thuần địa phương tiếp tục; bước phụ thuộc bắt buộc vào nguồn ngoài cần chính sách dừng/khôi phục.,B0 có miền sự cố trung tâm rộng hơn.,COV3,gián đoạn lớp trung ương,V1;V4;V5
S8,Quan hệ hệ sinh thái vượt nhiều tỉnh,quan hệ xuyên thẩm quyền,DRV1;DRV4,ĐÁP ỨNG CÓ ĐIỀU KIỆN,"AD05/AE25 hợp nhất theo định danh, nguồn và thời gian hiệu lực.",B0 đơn giản hơn cho truy vấn quan hệ liên tỉnh.,COV4,quan hệ xuyên địa bàn,V1;V3;V4
S9,Quyền quản lý một doanh nghiệp chuyển từ tỉnh A sang tỉnh B theo một thay đổi có thẩm quyền,quyền ghi theo thời gian/toàn vẹn/chuyển giao thẩm quyền,DRV1;DRV4;DRV5,RỦI RO KIẾN TRÚC,"B1 chưa có giao thức chuyển quyền ghi theo thời gian; cần một gán quyền hoạt động duy nhất, điểm cắt, bảo toàn lịch sử, bằng chứng chuyển và định tuyến trung ương.","B0 giảm chuyển dữ liệu vật lý giữa kho nhưng vẫn phải đổi quyền nghiệp vụ, định tuyến và lưu bằng chứng.",COV5,chuyển thẩm quyền/quyền ghi,V1;V3;V4;V5;V6
S10,Lược đồ/hợp đồng dữ liệu hoặc mô hình quy trình có phiên bản mới nhưng các tỉnh nâng cấp không đồng thời,khả năng tương thích/khả năng sửa đổi/truy vết phiên bản,DRV2;DRV4;DRV5,ĐÁP ỨNG CÓ ĐIỀU KIỆN,"Cần version envelope, cửa sổ tương thích, phiên bản tối thiểu hỗ trợ, ghim hồ sơ theo workflow version và AE25 đọc/biến đổi các phiên bản được hỗ trợ.",B0 có ít trạng thái phát hành phân tán hơn nhưng vẫn phải quản lý tương thích với hệ thống/giao diện ngoài.,COV2,nâng cấp cuốn chiếu,V2;V3;V4;V5;V6
