scenario_id,b0_assessment,driver_links,mechanism,sensitivity_point,risk_or_condition,b1r_contrast
SC1,ĐÁP ỨNG TRỰC TIẾP,DRV1,"AD01/CR2 kiểm tra write_scope/writer_epoch ở tầng ứng dụng; AE24 vẫn là điểm thực thi logic theo thẩm quyền tỉnh dù chạy trên kho tập trung đa tenant (một trong các alternatives của AD01, VP7).","Cách ly giữa các tỉnh chỉ còn ở tầng ứng dụng/quyền truy cập, không còn tầng vật lý.","Lỗi cấu hình phân quyền đa tenant (ví dụ thiếu điều kiện lọc write_scope) có thể gây ghi sai thẩm quyền trên cùng một kho; hệ quả lan rộng hơn so với kho vật lý tách biệt, nhưng cơ chế kiểm tra vẫn đầy đủ như B1-R.","B1-R đạt cùng mức Trực tiếp nhưng có thêm lớp cách ly vật lý theo tỉnh (P-DIST) như tuyến phòng thủ thứ hai; B0 chỉ còn một tuyến kiểm soát duy nhất."
SC2,ĐÁP ỨNG TRỰC TIẾP,DRV2;DRV5,"AD03/CR5 mô hình nền pháp lý trung ương + cấu hình địa phương có phiên bản, độc lập với lựa chọn topology lưu trữ.","Cổng kiểm tra tuân thủ (conformance gate) trước khi kích hoạt cấu hình địa phương.","Không đổi so với B1-R vì cơ chế này không phụ thuộc kho tập trung hay phân tán.","Cùng mức Trực tiếp; B0 chỉ đơn giản hơn về vận hành vì chỉ có một bản triển khai hạ tầng cần cập nhật khi phát hành mô hình nền mới, số tỉnh cần cấu hình lại không đổi."
SC3,ĐÁP ỨNG CÓ ĐIỀU KIỆN,DRV2;DRV5,"AD03/CR6 phát hành mô hình nền mới, tái kiểm tra cấu hình, quản lý hồ sơ đang chạy theo phiên bản.","Lan truyền thay đổi và chuyển phiên bản cho hồ sơ đang xử lý.","Vẫn cần quy trình phát hành/hồi quy như B1-R; số điểm triển khai hạ tầng cần cập nhật ít hơn (một kho) nhưng số tỉnh cần tái kiểm tra cấu hình nghiệp vụ không đổi.","Cùng mức Có điều kiện; điều kiện của B0 nhẹ hơn ở khâu phát hành hạ tầng lưu trữ nhưng không nhẹ hơn ở khâu cấu hình nghiệp vụ theo tỉnh."
SC4,RỦI RO KIẾN TRÚC,DRV3;DRV4;DRV5,"AD04/CR8 (outbox/retry/idempotency) áp dụng được về nguyên tắc, nhưng tiền đề ''tỉnh đã quyết định cục bộ trước khi đồng bộ'' của cơ chế này dựa trên PD1/PD2 (kho vận hành vật lý tách biệt theo tỉnh) mà B0 không có.","Ranh giới miền sự cố giữa thao tác ghi cấp tỉnh và lớp chia sẻ/tổng hợp trung ương.","Vì B0 không tách kho vận hành theo tỉnh, gián đoạn ở lớp trung tâm có thể chặn luôn khả năng tỉnh tự ghi quyết định cục bộ, không chỉ chặn bước đồng bộ/thông báo như ở P-DIST; nếu gián đoạn kéo dài có nguy cơ vượt thời hạn 15 ngày (khoản 2 Điều 66 NĐ 268) mà không có cơ chế nào trong lõi ổn định (AD01-AD05) bù đắp được nếu không thêm một tầng đệm cục bộ.","B1-R đáp ứng có điều kiện được nhờ P-DIST tách miền sự cố (PD1/PD2); B0 không có tuyến phòng thủ này nên rơi xuống mức rủi ro kiến trúc -- đây là đánh đổi cố hữu của phương án ''kho tập trung đa tenant'' ở VP7 (đã ghi nhận sẵn trong tradeoffs của AD01: ''P-DIST tăng cô lập miền sự cố''), không phải khiếm khuyết mới của lõi ổn định."
SC5,ĐÁP ỨNG TRỰC TIẾP,DRV4;DRV5,"Truy vấn tổng hợp toàn quốc đọc trực tiếp trên kho giao dịch tập trung, không cần một mô hình đọc (AE25) đồng bộ bất đồng bộ riêng.","Tranh chấp tài nguyên giữa truy vấn tổng hợp và ghi giao dịch trên cùng một kho.","Không còn rủi ro về độ mới/đồng bộ như CR7 yêu cầu cho một mô hình đọc tách biệt, vì nguồn và bản ghi tổng hợp là một; điều kiện còn lại (hiệu năng truy vấn, phân quyền đọc dữ liệu nhạy cảm) là vấn đề hiện thực hóa L3, không phải khoảng trống kiến trúc L2.","B1-R chỉ đạt mức Có điều kiện vì AE25 phải công bố nguồn/độ mới/phiên bản cho một bản sao/mô hình đọc riêng; B0 không cần cơ chế đó vì không có bản sao tách biệt khỏi nguồn."
SC6,ĐÁP ỨNG CÓ ĐIỀU KIỆN,DRV4;DRV5,"CR4/AE03/AE15 làm mới và xác minh lại nguồn định danh, không phụ thuộc topology lưu trữ.","Số bản tham chiếu cục bộ (cache) cần làm mới khi định danh nguồn quốc gia thay đổi.","Điều kiện giữ nguyên (vẫn cần chính sách làm mới/xác minh trước bước nhạy cảm) nhưng phạm vi hẹp hơn vì chỉ có một bản tham chiếu tập trung thay vì một bản mỗi tỉnh.","Cùng mức Có điều kiện; B0 giảm số điểm cần đồng bộ lại nhưng không loại bỏ được yêu cầu xác minh lại nguồn có thẩm quyền."
SC7,RỦI RO KIẾN TRÚC,DRV3;DRV4,"AE24 tiếp tục bước thuần địa phương vốn giả định trên PD1/PD2 (miền sự cố tỉnh tách khỏi miền sự cố trung ương); B0 không có sự tách miền sự cố này.","Liệu tỉnh có thể hoàn tất bất kỳ bước xử lý nào khi lớp trung ương (ở đây trùng hạ tầng với kho tập trung dùng chung) không sẵn sàng.","Trong B0, ''lớp trung ương không sẵn sàng'' có thể đồng nghĩa toàn bộ kho vận hành không sẵn sàng, kể cả với tỉnh đang xử lý cục bộ; không có bước thuần địa phương nào tách biệt được khỏi phụ thuộc trung tâm này trong một cấu hình tập trung thuần túy.","B1-R đáp ứng có điều kiện nhờ ranh giới rõ giữa bước địa phương và bước bắt buộc dùng dịch vụ ngoài (PD1/PD2); B0 không có ranh giới vật lý đó nên mức rủi ro cao hơn -- cùng loại đánh đổi cố hữu như SC4, không phải khiếm khuyết mới."
SC8,ĐÁP ỨNG TRỰC TIẾP,DRV1;DRV4,"Quan hệ hệ sinh thái (AD05/AE17) nằm sẵn trong cùng một kho tập trung, không cần bước hợp nhất liên tỉnh.","Kiểm soát phân quyền đọc quan hệ liên tỉnh (một tỉnh không được thấy dữ liệu ngoài phạm vi thẩm quyền dù cùng kho vật lý).","Rủi ro hợp nhất/khử trùng lặp giữa nhiều kho không còn tồn tại; điều kiện còn lại là kiểm soát truy cập theo phạm vi (CR4/AD05), thuộc L2 không đổi so với B1-R.","B1-R cần AD05/CR9 hợp nhất quan hệ theo định danh, nguồn và thời gian hiệu lực giữa các kho vật lý khác nhau; B0 không cần bước hợp nhất đó vì dữ liệu vốn đã ở một nơi."
SC9,ĐÁP ỨNG CÓ ĐIỀU KIỆN,DRV1;DRV4;DRV5,"AD01/CR2-CR3 (write_scope, writer_epoch tăng đơn điệu, máy trạng thái prepared-old-frozen-cutover-confirmed-new-active-completed) áp dụng như một giao dịch/chuỗi giao dịch trong cùng một kho, không cần giao thức đồng bộ hoặc di chuyển dữ liệu vật lý giữa hai kho.","Tính đúng đắn của việc chuyển writer_epoch và cập nhật định tuyến quyền ghi diễn ra nguyên tử trong một hệ quản trị dữ liệu duy nhất.","Vẫn phải enforce bất biến single-active-writer, lưu source_evidence/transfer_id và cập nhật định tuyến quyền nghiệp vụ đúng như B1-R; đây vẫn là hành vi ứng dụng minh thị, không tự động có được chỉ vì dùng chung một kho, nên chưa đạt mức Trực tiếp.","B1-R phải xử lý thêm cutover/khởi động lại/gửi lại giữa hai kho vật lý tách biệt và forward recovery xuyên nút; B0 giảm được lớp phức tạp đó (không cần đồng bộ chéo hai kho) nhưng vẫn giữ đầy đủ gánh nặng thẩm quyền/nghiệp vụ và bằng chứng chuyển giao."
SC10,ĐÁP ỨNG CÓ ĐIỀU KIỆN,DRV2;DRV4;DRV5,"AD03/CR6 (cửa sổ tương thích, phiên bản tối thiểu hỗ trợ, pin phiên bản hồ sơ đang xử lý) áp dụng cho cấu hình quy trình/biểu mẫu địa phương, độc lập với việc lược đồ dữ liệu có tập trung hay không.","Lệch phiên bản cấu hình quy trình theo tỉnh, không phải lệch phiên bản lược đồ dữ liệu.","Vì B0 dùng một lược đồ dữ liệu/kho dùng chung, rủi ro lệch phiên bản lược đồ giữa các tỉnh gần như bị loại bỏ theo cấu trúc (mọi lần ghi đi qua cùng một phiên bản lược đồ); rủi ro lệch phiên bản còn lại chỉ nằm ở cấu hình quy trình/biểu mẫu địa phương (AD03), vốn không phụ thuộc topology lưu trữ, nên vẫn cần cơ chế AD03/CR6 nguyên vẹn.","Cùng mức Có điều kiện nhưng phạm vi điều kiện của B0 hẹp hơn: B1-R phải quản lý đồng thời lệch phiên bản lược đồ liên kho VÀ lệch phiên bản cấu hình quy trình; B0 chỉ còn phải quản lý vế thứ hai."
