id,family,source,locator,source_class,constraint_type,level,constraint,response,architecture_elements,verification_criterion,status,diagnostic_note,source_unit_id,atomization_rule,sibling_constraint_ids
C01.01,C01,QĐ 3090/QĐ-BKHCN,Điều 1,A,ARCH_REF,L1,Khung kiến trúc tổng thể quốc gia số là hệ quy chiếu tổng thể cho kiến trúc số.,Đặt kiến trúc miền dưới hệ quy chiếu quốc gia và ghi rõ quan hệ với các khung cấp dưới.,AE01,Hình định vị chỉ ra khung quốc gia và không tuyên bố kiến trúc miền thay thế khung quốc gia.,ĐÁP ỨNG,,SU001,R1,
C01.02,C01,QĐ 292/QĐ-BKHCN,"Phụ lục, Chương 2, Mục II",A,ARCH_REF,L1,Mô hình tham chiếu nghiệp vụ phải được xem xét khi mô tả miền nghiệp vụ.,Kế thừa nghiệp vụ làm hệ quy chiếu khi xây dựng view tương ứng.,AE01,Có viewpoint/model tương ứng và truy vết tới quyết định kiến trúc.,ĐÁP ỨNG,,SU002,R2,C01.03;C01.04;C01.05;C01.06
C01.03,C01,QĐ 292/QĐ-BKHCN,"Phụ lục, Chương 2, Mục II",A,ARCH_REF,L1,Mô hình tham chiếu dữ liệu phải được xem xét khi mô tả dữ liệu.,Kế thừa dữ liệu làm hệ quy chiếu khi xây dựng view tương ứng.,AE01,Có viewpoint/model tương ứng và truy vết tới quyết định kiến trúc.,ĐÁP ỨNG,,SU002,R2,C01.02;C01.04;C01.05;C01.06
C01.04,C01,QĐ 292/QĐ-BKHCN,"Phụ lục, Chương 2, Mục II",A,ARCH_REF,L1,Mô hình tham chiếu ứng dụng phải được xem xét khi mô tả thành phần ứng dụng.,Kế thừa ứng dụng làm hệ quy chiếu khi xây dựng view tương ứng.,AE01,Có viewpoint/model tương ứng và truy vết tới quyết định kiến trúc.,ĐÁP ỨNG,,SU002,R2,C01.02;C01.03;C01.05;C01.06
C01.05,C01,QĐ 292/QĐ-BKHCN,"Phụ lục, Chương 2, Mục II",A,ARCH_REF,L1,Mô hình tham chiếu công nghệ phải được xem xét khi mô tả hiện thực hóa công nghệ.,"V5/AE22 được hiện thực bằng sơ đồ C4 Deployment: deployment node tỉnh/trung ương, container instances và infrastructure node; topology sản phẩm/HA vẫn là VP7.",AE01;AE22,Hình V5 tách static container khỏi deployment instance và chỉ khóa biên lỗi/phụ thuộc công nghệ ở mức SRA.,ĐÁP ỨNG,WP7.3 completed V5 body artefact; implementation technology remains variable.,SU002,R2,C01.02;C01.03;C01.04;C01.06
C01.06,C01,QĐ 292/QĐ-BKHCN,"Phụ lục, Chương 2, Mục II",A,ARCH_REF,L1,"Mô hình tham chiếu an toàn thông tin mạng, an ninh mạng phải được xem xét.","V6/AE23 được hiện thực bằng ma trận trust zone: phạm vi quyền, dữ liệu, kiểm soát, audit owner và biên external source.",AE01;AE14;AE23,"V6 body artefact covers trust boundary, authorization scope, classification/provenance, interop audit and central/provincial privilege separation.",ĐÁP ỨNG,WP7.3 completed V6 body artefact; operational assurance remains for implementation.,SU002,R2,C01.02;C01.03;C01.04;C01.05
C02.01,C02,QĐ 2439/QĐ-TTg,"Điều 1; Khung ban hành kèm theo, Chương I, Mục I.1",A,DATA_GOV,L1,"Kiến trúc dữ liệu phải thống nhất nguyên tắc, cấu trúc và mô hình dữ liệu với Khung kiến trúc dữ liệu quốc gia.",Kế thừa phân lớp và khái niệm dữ liệu chủ/danh mục/metadata.,AE01;AE02;AE16,Mô hình dữ liệu sử dụng cùng khái niệm và có mapping rõ.,ĐÁP ỨNG,,SU003,R2,C02.02;C02.03;C02.04
C02.02,C02,QĐ 2439/QĐ-TTg,"Điều 1; Khung ban hành kèm theo, Chương I, Mục I.1",A,DATA_GOV,L1,Phương thức kết nối/chia sẻ dữ liệu phải phù hợp Khung kiến trúc dữ liệu quốc gia.,Đưa kết nối liên cơ quan qua lớp tích hợp và nền tảng chia sẻ/điều phối.,AE11;AE12;AE20,Mọi luồng liên cơ quan chỉ ra biên tích hợp và cơ chế điều phối.,ĐÁP ỨNG,,SU003,R2,C02.01;C02.03;C02.04
C02.03,C02,QĐ 2439/QĐ-TTg,"Điều 1; Khung ban hành kèm theo, Chương I, Mục I.1",A,DATA_GOV,L1,"Quản trị, quản lý dữ liệu chuyên ngành phải phù hợp Khung quản trị, quản lý dữ liệu quốc gia.","Bổ sung ownership, provenance, chất lượng và vòng đời trong mô hình dữ liệu.",AE02;AE15;AE16,Mỗi nhóm dữ liệu có owner/source/quality/lifecycle.,ĐÁP ỨNG,,SU003,R2,C02.01;C02.02;C02.04
C02.04,C02,QĐ 2439/QĐ-TTg,"Điều 1; Khung ban hành kèm theo, Chương I, Mục I.1",A,DATA_GOV,L1,Từ điển dữ liệu chuyên ngành phải kế thừa/ánh xạ với Từ điển dữ liệu dùng chung.,Duy trì mapping/versioning ở AE02/AE18; V3 chỉ định contract nhưng chưa có schema thật để kiểm tra.,AE02;AE18,Cần schema/từ điển chính thức hoặc mẫu triển khai để xác nhận mapping field-level.,MỘT PHẦN,Remains partial: requires concrete schema evidence.,SU003,R2,C02.01;C02.02;C02.03
